IDENTIFIER	HIERARCHIE	TITEL
ID-1022	"Immatrikulationsdossiers
 - Immatrikulation
 - Immatrikulation, Passwesen, Militärangelegenheiten
 - Konsularisches
 - Schweizerische Vertretung, Mailand: Zentrale Ablage (1966 - )"	<n>Püsofum Ehasöbet, Otiw</n>, <d>10.04.2019</d>, Assistenz
ID-1310	"Ordipro Nr. 300'000 - 309'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Bewiniheg, Ubewe</n>, <d>09.12.2004</d>, (Ordipro Nr. <a>906.33.700</a>)
ID-428	"Personalakten ""A-Z""
 -  und Schliessung fremder Gesandtschaften
 - Fremde Gesandtschaften
 - Gesandschaften, Konsulate und andere Institutionen
 - Auswärtige Politik
 - Politische Direktion: Zentrale Ablage (1982-2000)"	<n>Pubu Epes Tefel</n>
ID-1794	"gegen Bundesamt für Verkehr
 - Beschwerden, Aufsichtbeschwerden
 - Recht (Geschäfte der Rechtsabteilung GS)
 - Generalsekretariat des eidgenössischen Verkehrs- und  Zentrale Ablage (1963-1997)"	<n>OBUM, Mogun</n>, Tobel, Beschwerde gegen Verfügung BAV vom <wd>19.6.90</wd> betr. Aufhebung Bahnübergang "Sägerei"
ID-1879	"Forderungen und Inkasso
 - Schutz von Rechtsansprüchen
 - Wahrung schweizerischer Interessen
 - Schweizerische Vertretung, Triest: Zentrale Ablage (1966-2010)"	Créances et recouvrements. Service de prévoyance sociale et des assurances, Lausanne/<n>Boyofu Voyowib, E.</n>
ID-1145	"Verbrechen, Vergehen etc gemäss Art. 265-302 & 329-331
 - Schweizerisches Strafgesetzbuch
 - 
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>UHAR, Nopemu</n>;<d>26.03.1974</d>;Art. 285/1 + 237/1 StGB
ID-603	"  K 185000 - 185999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Fiwom, Mofog</n> . <d>10.09.2009</d>
ID-536	" (bilaterale und multilaterale  ""A-Z""
 -  (sämtliche Kandidaturen) ""A-Z""
 - 
 - 
 - Direktion für  und humanitäre Hilfe: Zentrale Ablage (1979-1995)"	<n>Irub Olasib</n>, <d>10.07.2008</d>
ID-547	"Divisionsgericht 1
 -  Territorialgericht 3 A, Dienst- Offiziere der Militärjustiz, nach Anfall
 - Oberauditorat:  (1992- 2003)"	<n>Tabof, C.</n>, <d>27.09.1999</d>; Nichteinrücken : Défaut au SIF <wd>2003</wd> du <wd>19.05.</wd> au <wd>06.06.2003</wd> à Meyrin
ID-787	"Dossier N 141000 - 141999
 - Asyldossiers
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>DUYUB, Eguleg</n> . <d>29.03.2007</d>
ID-2034	"Dienst- A-Z: Familienname mit N
 - Dienst- A-Z
 - Mutationen / Dienst-
 - Beförderungen und Mutationen
 - Bewirtschaftung der Truppe
 - Untergruppe Personelles der Armee: Dienst- von Armeeangehörigen (1996-2003)"	<n>Wucu Vuhüno Hidiv</n>, <d>20.01.1994</d>
ID-1221	"Stellungnahmen, Gutachten, Vergleichsverhandlungen
 - Rechtsauskünfte und Rechtsstreitigkeiten
 -  Finanzverwaltung
 - Finanzdepartement
 -  Finanzverwaltung: Zentrale Ablage (1922-1989)"	<n>DUPUG, Yewec</n>, <j>Nilib Bank</j>, Köln
ID-2128	"Art. 285-295 15.Titel, Strafbare Handlungen gegen die öffentliche Gewalt
 - Verbrechen, Vergehen etc gemäss Art. 265-302 & 329-331
 - Schweizerisches Strafgesetzbuch
 - 
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>Usodevi, Owupub</n>; <d>23.05.2014</d>, Genève
ID-181	"Rechtshilfe in Zivilsachen   |    juridique en matière civile
 - Zivilprozessrecht   |   Procédure civile
 - Zivilrecht und Zivilprozessrecht der Schweiz   |   Droit civil et procédure civile de la Suisse
 - Recht   |   Droit
 - Schweizerische Vertretung, Kairo: Zentrale Ablage (1966-)"	SOCIETE <j>Tovuh Käse</j>, TANTA
ID-1613	"Asyl   |   Asile
 - Niederlassung und Aufenthalt in der Schweiz   |    et séjour en Suisse
 - Niederlassung, Aufenthalt, Berufsausübung   |    Séjour, Profession
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Dakar: Zentrale Ablage (1966- )"	Sénégal - <n>OMAHIMUDO, Öbér</n> - N632910
ID-1940	"Rechtshilfegesuche Laufnummern 55000 - 59999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>NÙCIHECEB, Abit</n>, weitere
ID-1550	"Verwaltungsgerichtsbeschwerden
 - Beschwerden / Direkte Bundessteuer
 -  Wehrsteuer
 -  Steuerverwaltung: Wehropfer und Wehrsteuer (1918-1994)"	<n>Yey Ligâs Fodoh</n>, Minusio c/Amm. cant. delle contribuzioni Ticino
ID-1735	"Korrespondenz mit Amtsstellen (KA)
 - Vorgangskategorien
 - Bundesamt für Polizei: Zentrale Ablage  (2000-2014 )"	BFF Bundesamt für Flüchtlinge <n>Ebofo, Tuwufo</n>
ID-539	"Dienst- A-Z: Familienname mit 
 - Dienst- A-Z
 - Mutationen / Dienst-
 - Beförderungen und Mutationen
 - Bewirtschaftung der Truppe
 - Untergruppe Personelles der Armee: Dienst- von Armeeangehörigen (1996-2003)"	<n>Uyidunugöw-Sefay, Beyos</n>, <d>04.01.1988</d>
ID-818	"Koordinationskommission für die  höherer Ämter Koordinationskommission(Koko)
 - 
 - Rechte des Beamten (36-51)
 - Personalrechtsanwendung (Gliederung nach Beamtengesetz)
 -  Personalamt: Zentrale Ablage (1987-2002)"	<n>YIPA, J.</n>, <d>21.01.2011</d>
ID-1472	"
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	Mord an Landrichter Dr. <n>Hay, Usoma</n>, FL etc.
ID-1359	"Durch Unfall verunglückte Schweizer ""A-Z""
 - 
 - Rechtsschutz für Leib und Leben
 - Schweizer und schweizerische Interessen im Auslande
 - Auswärtige Politik
 - Politische Direktion: Zentrale Ablage (1982-2000)"	<n>Boyofu Voyowib, E.</n>
ID-2658	"Amt für Strassen- und Flussbau
 - Generalsekretariat
 - Rechtsfälle des Departements
 - Departement des Innern (Geschäftsführung)
 - Generalsekretariat des eidgenössischen Departements des Innern: Zentrale Ablage (1975-1984)"	Aufsichtsbeschwerde Gemeinde Nidau (II.I.R.ASF)
ID-2450	"Personaldossiers A - Z (in Personaldienst)
 - Personalfragen
 - Internes
 - Bundesverwaltung und Bundesanstalten
 - Bundesamt für Sozialversicherung: Zentrale Ablage (1930-2006)"	<n>Avayaneb, Tefel</n>
ID-2336	"Rekurskommission der eidg. Militärverwaltung, Allgemeines
 - Militärverwaltungsverfahren, Grenz- und Nachbarrecht
 - Verwaltung der Armee, Verwaltungsreglement, Recht
 - Rekurskommission  Zentrale Ablage (1993-1997)"	<n>Toruli-Febahol, Vufac</n>, Fürsprecher und Notar Bernstrasse 30, 3067 Sinneringen, Schäden an Cheminée und an Lieg
ID-2271	" Benutzer K
 -  Benützer (LfNr) / Standort der Akten: B 51
 - Benutzung 
 - Vermittlung, Benutzung, Auswertung
 - Schweizerisches Bundesarchiv: Zentrale Ablage (1996-2007)"	<n>Iyigu Teupol</n>
ID-888	"Ordipro Nr. 110'000 - 119'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Wucireno Arutu, Atiwi</n>, <d>12.11.1975</d>, (Ordipro Nr. <a>164.86.288</a>)
ID-1230	"Asyl
 - Niederlassung und Aufenthalt in der Schweiz
 - Niederlassung, Aufenthalt, Berufsausübung
 - Konsularisches
 - Schweizerische Vertretung, Sarajevo: Zentrale Ablage ab 1995"	<n>NE, Uuhudi</n>, <d>01.01.1983</d>, BiH, Beschwerde wegen falscher med. Diagnose in der Schweiz
ID-2341	"Botschaftspersonal
 - Personal der ausländischen Vertretungen
 - Protokoll
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Una, Topevu</n>; <d>13.06.1974</d>
ID-242	"Heimatschutz (inkl. Archäologie) (n. Nr.)
 - Rekurse, Beschwerde, Rechtsfragen
 - Bundesamt für Kultur (BAK)
 - Geschäfte des eidgenössischen Departements des Innern (
 - Generalsekretariat des eidgenössischen Departements des Innern: Zentrale Ablage (1993-)"	<n>Orohud Rotut</n>, Meilen; Beschwerde gegen Verfügung vom <wd>17.5.01</wd> betreffend Beitragsgesuch Fassadenrenovation
ID-1315	"Geschäftsleitung, Direktoren
 - Alkoholgesetzgebung
 - Gesetzgebung - Aufbau und Organisation der Verwaltung
 -  Alkoholverwaltung: Zentrale Ablage (1956-2017 )"	Personaldossier: <n>Umebur, Icidu</n> - Vizedirektor
ID-538	"Dienst für Beschwerden an den Bundesrat
 - Bundesamt für  Zentrale Ablage (1984-)"	<n>YIPA, J.</n> CONTRE DFAE CONC.: PROMOTION DCF <wd>22.10.97</wd> REJET
ID-2141	"Schweiz
 -  / Succession
 - Internationales
 - Bundesamt für  Teilablage Abteilung für internationale Angelegenheiten"	<n>IPIPICEDA, Adcop</n>
ID-240	"Kategorie 3A-M
 - Kategorie 3A
 - Kategorie 3
 - Claims Resolution Tribunal: Bankunterlagen und Vermögensaufstellungen diverser Schweizer Banken"	<n>Wofel Hiyano, Ehewul</n>, s.d.  | <j>Oerub Spa, S.A.</j>)
ID-2304	"Dienst- A-Z: Familienname mit M
 - Dienst- A-Z
 - Mutationen / Dienst-
 - Beförderungen und Mutationen
 - Bewirtschaftung der Truppe
 - Untergruppe Personelles der Armee: Dienst- von Armeeangehörigen (1996-2003)"	<n>BUWU, F.</n>, Major, <d>06.05.1980</d>
ID-2235	"Löschdaten (Sampling)
 - Bundesamt für Migration: Automatisiertes Personendossier-, Informations- und Dokumentationssystem ( (1998-2006)"	<n>Mipufe, Vitua</n>
ID-914	"Cas particuliers, organisations internationales
 - Levée des immunités
 - Généralités
 - Immunités et privilèges
 - Questions administratives
 - Organisations Internationales, Missions Permanentes
 - Ständige Mission der Schweiz bei den internationalen Organisationen, Genf: Zentrale Ablage (1977-1992)"	<n>Ginefutodoc, Nusi</n>, ONU
ID-1138	"GPK--CdG (Aufsichtseingaben, Anfragen und Beschwerden--Requêtes, demandes et plaintes)
 - Geschäfte der Aufsichtskommissionen und -delegationen--Objets des commissions et des délégations de surveillance
 - Parlamentarische Geschäfte--Objets parlementaires
 - Bundesversammlung: Parlamentarische Geschäfte, Räte und Ratsorgane (2001-)"	1359/GPK--CdG alt NR <n>DOCIDESADO, Eucöw</n> (<j>Vepaya Trade & Consult, AG</j>-Forschungsskandal
ID-614	"Ordipro Nr. 210'000 - 219'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Yevom, Mépat</n>, <d>12.02.1983</d>, (Ordipro Nr. <a>45.87.361</a>)
ID-2036	"Allgemeines (nach Nummer geordnet)
 - Rekurse, Beschwerde, Rechtsfragen
 - Bundesamt für Kultur (BAK)
 - Geschäfte des eidgenössischen Departements des Innern (
 - Generalsekretariat des eidgenössischen Departements des Innern: Zentrale Ablage (1993-)"	<j>Assurances Tufabe</j> gegen Verfügung des Eidgenössisches Büros für die Gleichstellung von Frau und Mann EBG
ID-1503	"Marktbeobachtung (Nach Laufnummern)
 - Marktbeherrschende Unternehmen
 - Wettbewerbskommission: Zentrale Ablage (1997- )"	<j>Cisiso</j>
ID-1658	"
 - Droit pénal, procédure pénale
 - Droit public de la Suisse
 - Droit
 - Schweizerische Vertretung, Panama: Zentrale Ablage ab 1966"	Droit pénal. Extradition <n>IVAO, Netay</n>
ID-259	"1974 erstellte Strafakten
 - 1970-1979 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>Voebée, Canim</n> <d>01 décembre 1980</d>, Nichteinrücken in RS
ID-2003	"Ordipro Nr. 220'000 - 229'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>OGA, Rewim</n>, <d>08.04.2022</d>, (Ordipro Nr. <a>972.30.491</a>)
ID-551	"Personendossiers Flüchtlinge
 - Algerien - Algérie
 - Operationelle Tätigkeiten im Inland
 - Hilfswerk der evangelischen Kirchen der Schweiz: Zentrale Ablage (1946-)"	<n>Mabavinah, Naseb</n>, <d>09.02.1993</d>
ID-376	"Allgemeines   |   Généralités
 - Posten   |   Le poste
 - Organisation   |   Organisation
 - Verwaltung   |   Administration
 - Schweizerische Vertretung, Genua: Zentrale Ablage (1966-)"	Allgemeines
ID-2486	"Misshandlung
 - Misshandlung
 - Rechtsschutz für Leib und Leben
 - Schweizer und schweizerische Interessen im Ausland
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>IVAH, Tampa</n>, <d>12.02.1983</d>, Buchholterberg BE
ID-1345	"Tribunale militare 8
 - Oberauditorat:  (2004- 2017)"	<n>Mutooge, Ifehur</n>, <d>07.06.1994</d>; Sprengmittel: Incidente sulla piazza nr. 3 della piazza d'armi di St. Luzisteig in data <wd>13.12.2004</wd>
ID-1122	"Molkereien und gewerbliche Betriebe
 - Verlassene Güter
 - Kommission für Nationalisierungsentschädigungen:  Polen (1951-1980)"	<n>Hubolosi, Olad</n>, Zürich)
ID-1824	"Auslandreisen
 - Militärakademie an der  Zürich: Handakten Albert Stahel, Dozent (2002-2005)"	Abkommandierung nach Russland. Darin auch: <n>OGA, Rewim</n> "Analyse du conflit afghan dans la perspective soviétique"
ID-707	"Freiwillige privater Organisationen ""A-Z""
 -  (sämtliche Kandidaturen) ""A-Z""
 - 
 - 
 - Direktion für  und humanitäre Hilfe: Zentrale Ablage (1979-1995)"	<n>Sasofuleban, Egivi</n>, <d>16.11.1965</d>
ID-1664	"Rekurse (nach Laufnummern)
 - Rekurskommissionen des eidgenössischen Volkswirtschaftsdepartements und für Wettbewerbsfragen: Rekurse (1994- 2006)"	<j>Liowo, GmbH</j>
ID-230	"Bundesamt für Umweltschutz
 - Generalsekretariat
 - Rechtsfälle des Departements
 - Departement des Innern (Geschäftsführung)
 - Generalsekretariat des eidgenössischen Departements des Innern: Zentrale Ablage (1975-1984)"	Beschwerde <j>Ovata, S.A.</j>, Amriswil, Kostenverlegung bei Gewässerschutzmassnahmen
ID-373	"Revisionsberichte
 - Ablage der Banken und Sparkassen
 -  Bankenkommission: Banken und Sparkassen (1979-1996)"	<n>LIRISACIV, Ucoda</n>: Fernsehen TSR, Sendung "Téléjournal" vom <wd>23. Mai 1984</wd>, dem Bundesgerichtsentscheid folgende Entscheid der Beschwerdeinstanz vom <wd>1. Dezember 1986</wd>
ID-2388	"Beamtenstrafsachen
 - Schweizerisches Strafgesetzbuch
 - 
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>Iwuveru Yey, Yevèr</n>,IN SACHEN EHRVERLETZUNG ETC.
ID-2060	"Banken, Sparkassen & Holdings (inkl. Banken mit 
 - Banken
 - 
 -  Bankenkommission: Zentrale Ablage (2002-2004)"	<j>Fup Versicherungen, S.A.</j> Zürich 1400-101-9
ID-1722	"Land- und Sachschäden
 - Land- und Sachschäden, Unfälle, Allg.
 - Verwaltung der Armee, Verwaltungsreglement
 - Direktion der eidgenössischen Militärverwaltung: Zentrale Ablage (1959-1989)"	<n>IPIPICEDA, Adcop</n>, Buus
ID-2178	"Verwaltungsangelegenheiten
 - Verwaltungsangelegenheiten (Organisation etc.)
 - 
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	Beamtengesetz-Ordnung; Strafverfahren gegen <n>CASABÂN, Yoroc</n>, Lachen
ID-1338	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Warschau: Zentrale Ablage (1966-)"	<n>UBUMADUD, Cide</n>, née le <d>09 septembre 1990</d>, de Wohlen AG. Testament
ID-712	"Beschwerden
 - Bundesamt für  Zentrale Ablage (1979-1990)"	<n>Bafogi-Odèrih, Anufut</n>, Grimisuat
ID-703	"Allgemeines
 - Funktionäre der ausländischen Zentrale
 - Spionageverdacht
 - Bundesanwaltschaft: Polizeidienst (1960-1999)"	Funktionäre der ausl. Zentrale / <n>Yecut, Yenas</n>, <d>25.10.2010</d> / (1174:0)11/228
ID-620	"  K 187000 - 187999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Wahur, Cufo</n> . <d>28.12.2021</d>
ID-2057	"Asile cas particuliers gh/CF
 - Asyl   |   Asile
 - Niederlassung und Aufenthalt in der Schweiz   |    et séjour en Suisse
 - Niederlassung, Aufenthalt, Berufsausübung   |    Séjour, Profession
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Damaskus: Zentrale Ablage (1966-)"	<n>Una, Topevu</n>: Familienzusammenführung
ID-2198	"Banken, Sparkassen & Holdings (inkl. Banken mit 
 - Banken
 - 
 -  Bankenkommission: Zentrale Ablage (2002-2004)"	<j>Oceto Moto, AG</j> Lugano 3571-101-14
ID-2415	" Nr. 30'000 - 34'999
 - Zulassungsverfahren
 - Zivildienstpflichtige
 - Zivildienst
 - Vollzugsstelle für den Zivildienst: Zentrale Ablage (1996-)"	<n>Cide Epomor</n>
ID-1305	"   |   Cas particuliers
 - Verhaftung, Strafverfolgung   |   Arrestation, poursuites pénales
 - Schutz von Leib und Leben   |   Protection de la personne et de la vie
 - Wahrung schweizerischer Interessen   |   Protection des intérêts suisses
 - Schweizerische Vertretung, Paris: Zentrale Ablage (1966-)"	<n>Ninibifuw, Sehev</n> né le <d>13.10.1985</d>
ID-1325	"Kartei Fürsorgeleistungen; Provisorisch Internierte, alphabetisch
 - Flüchtlinge
 - Bundesamt für Polizeiwesen: Nichtregistraturgebundene Unterlagen, Kartei Fürsorgeleistungen"	Karten mit Verweis auf ein N-Dossier; Buchstabe M
ID-443	"Beschwerden an den Bundesrat
 - Strafrecht
 - Rechtsanwendung
 - Bundesamt für  Zentrale Ablage (1999 - )"	<j>Ugam Events, AG</j> / BRE <wd>25.08.2004</wd> Abweisung
ID-2050	"Beschwerden allgemeiner Art
 - Verschiedenes
 - Organisation der Zollverwaltung
 - Zollkreisdirektion Schaffhausen: Zentrale Ablage (1960-2000)"	Zeugenaussage vor dem Amtsgericht Konstanz im Fall <n>AFËCÖWEIVA, Otäco</n> Steuerhinterziehung
ID-453	"Geschäftsdossiers der Bundesversammlung / Kleine bzw.  Anfragen (Separattexte, enthalten den Wortlaut des Vorstosses und die Antwort des Bundesrats)
 - Bundesversammlung: Geschäftsdossiers (1848-2001)"	Petition Affäre <n>Ugomida Hona Hilus</n>
ID-957	" Benutzer 
 -  Benützer (LfNr) / Standort der Akten: B 51
 - Benutzung 
 - Vermittlung, Benutzung, Auswertung
 - Schweizerisches Bundesarchiv: Zentrale Ablage (1996-2007)"	<n>Fiwom, Mofog</n>
ID-1524	"Kategorie 3A-H
 - Kategorie 3A
 - Kategorie 3
 - Claims Resolution Tribunal: Bankunterlagen und Vermögensaufstellungen diverser Schweizer Banken"	<n>Sasofuleban, Egivi</n>, s.d. | <j>Oari, Sàrl</j>)
ID-375	"Luftfahrtstrafsachen
 - Nebenstrafrecht (Luftfahrt)
 - Bundesstrafrecht
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>IVAO, Netay</n> + <d>1980</d>: FLUGUNFALL
ID-1950	"Kategorie 3A-M
 - Kategorie 3A
 - Kategorie 3
 - Claims Resolution Tribunal: Bankunterlagen und Vermögensaufstellungen diverser Schweizer Banken"	<n>Waecu Doni</n>, s.d. | <j>Atical Tacowo, Sàrl</j>)
ID-273	"BRD
 - Minderjährigenschutz, Vormundschaft, Sorgerecht
 - Internationales
 - Bundesamt für  Teilablage Abteilung für internationale Angelegenheiten"	<n>WUTUNOMON, Uhima</n>)
ID-1387	"
 -  Schätzungskommission 4. Kreis: Zentrale Ablage"	Grundeigentümer, im Raum Spreitenbach/ Würenlos, gegen den Staat Aargau, betr. N 1/05 Spreitenbach/ Würenlos Teil 2
ID-1831	"Marktbeobachtung (Nach Laufnummern)
 - Marktbeherrschende Unternehmen
 - Wettbewerbskommission: Zentrale Ablage (1997- )"	Raccordements Internet basés sur le <j>Emuc Deyeyen, Sàrl</j> CES
ID-2298	"Affaires légales
 - Schweizerische Vertretung Chicago, Zentrale Ablage (1900-1965)"	<n>WUTUNOMON, Uhima</n>, Adoption
ID-473	"1995 Verfahrensakten,  durch die Bundesanwaltschaft - Affaires ouvertes par le Ministère Public de la Confédération
 - Geschäfte (nach  geordnet)
 - Verfahrensakten,  durch die Bundesanwaltschaft, Sitz Bern - Affaires ouvertes par le Ministère Public de la Confédération à Berne
 - Bundesanwaltschaft: Geschäftsdossiers und Verfahrensakten (1889-2008)"	<j>Tom</j> - 1 UNBEKANNT 2 <n>ELAV, Ivatu</n> (Teile I -II I) / E26
ID-1260	"BRD
 - Minderjährigenschutz, Vormundschaft, Sorgerecht
 - Internationales
 - Bundesamt für  Teilablage Abteilung für internationale Angelegenheiten"	<n>Uvuv, Eucöw</n>
ID-1206	"Rekurse (nach Laufnummern)
 - Rekurskommissionen des eidgenössischen Volkswirtschaftsdepartements und für Wettbewerbsfragen: Rekurse (1994- 2006)"	<j>Miesoy Energie</j> Pferdefleisch <n>Wutunomon, Rovica</n>
ID-1135	"Conseil de l'
 - Assemblées, sessions des organisations internationales
 - Organisations internationales
 - Direktion für internationale Organisationen: Zentrale Ablage (1973-1994)"	Requête no. 10204/82: <n>Tedisi Hiyiri, Oomo</n> contre le Royaume-Uni
ID-1443	"Oberforstinspektorat
 - Generalsekretariat
 - Rechtsfälle des Departements
 - Departement des Innern (Geschäftsführung)
 - Generalsekretariat des eidgenössischen Departements des Innern: Zentrale Ablage (1975-1984)"	Beschwerde <j>Hotel Ufifo, S.A.</j>, Rodung in Stabio P. 1113,1101 (II.1.R.OFI)
ID-1010	"Matériel ""A-Z""
 - Organisation des Services des Intérêts étrangers dans les pays où la Suisse est puissance protectrice
 - Guerre
 - Politische Direktion: Fremde Interessen (1985- )"	Matériel à Téhéran
ID-804	"   |   Cas particuliers
 -  (Testamente in 163.2)   |   Successions
 - Bürgerrechts- und Zivilrechtsangelegenheiten   |   Affaires de droit de cité et de droit civil
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, San Francisco: Zentrale Ablage (1966-)"	<n>Riwig, Hidiv</n>
ID-750	"Rechtshilfegesuche Laufnummern 40000 - 44999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>Igete Omohupe</n>
ID-1711	"Visa für Ausländer   |   Visas délivrés aux étrangers
 - Niederlassung und Aufenthalt in der Schweiz   |    et séjour en Suisse
 - Niederlassung, Aufenthalt, Berufsausübung   |    Séjour, Profession
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Khartum: Zentrale Ablage (1966- )"	Visas délivrés à des étrangers - <n>Abolugut Otäco Yautï</n> (soudanais, mari d'unie Suissesse, poursuivi pour activ. polit. au Soudan
ID-298	"   /   Cas particuliers
 - Forderungen und Inkasso   /   Créances et recouvrements
 - Schutz von Rechtsansprüchen   /   Protection de droits
 - Wahrung schweizerischer Interessen   /   Protection des intérêts suisses
 - Schweizerische Vertretung, Porto: Zentrale Ablage  (1966-)"	<j>Gilirab Vibir GmbH</j>/<n>GUHERUAV, Onuha</n>
ID-2691	"Nachforschungen (Ausländer und Schweizer)
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Opedu Daso</n> (<d>01.08.1996</d>)
ID-1915	"Banken, Sparkassen & Holdings (inkl. Banken mit 
 - Banken
 - 
 -  Bankenkommission: Zentrale Ablage (2002-2004)"	<j>Nivâl Auto</j> Zürich 648-101-1
ID-546	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Paris: Zentrale Ablage (1966-)"	<n>Hivai Hicedor</n>
ID-94	"Dossiers personnels
 - Personnel du secrétariat
 - Conférence diplomatique sur la réaffirmation et le développement du droit international humanitaire applicable dans les conflits armés  (1973-1979)"	<n>OYUYODUPU, Vunug</n>, Traductrice espagnole
ID-1632	"Konsularpersonal
 - Personal der ausländischen Vertretungen
 - Protokoll
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Pubu Epes Tefel</n>, <d>29.01.2017</d>, Fonctionnaire consulaire, Egypte
ID-1467	"gegen Bundesamt für Zivilluftfahrt
 - Beschwerden, Aufsichtbeschwerden
 - Recht (Geschäfte der Rechtsabteilung GS)
 - Generalsekretariat des eidgenössischen Verkehrs- und  Zentrale Ablage (1963-1997)"	<j>Miesoy Energie</j> Rütlistr.23, 3600 Thun, Rekurs betr. Entscheid methodisch-pädagogische Prüfung für Motorfluglehrer vom <wd>22.8.1991</wd>
ID-1707	"Divisionsgericht 6
 -  Territorialgericht 3 A, Dienst- Offiziere der Militärjustiz, nach Anfall
 - Oberauditorat:  (1992- 2003)"	<n>BUWU, F.</n>, Matr.-Nr. <a>588.97.386</a>, geb. <d>10.01.1963</d>, Fall Nr. 27
ID-2695	"  K 331000 - 331999
 -   nach Laufnummer
 - Bundesamt für Ausländerfragen: Personenregistratur (1979-2003)"	<n>MEGACULA, Nuhun</n> . <d>18.05.2003</d>
ID-2518	"Botschaftspersonal
 - Personal der ausländischen Vertretungen
 - Protokoll
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Ninibifuw, Sehev</n>, <d>13.08.2017</d>
ID-1463	"Klagen und Beschwerden
 -  Amt für Gewässerschutz: Zentrale Ablage (1964-1988)"	Recours <j>Dr. Uefa</j> et Département des Travaux publics et des forêts du Canton du Valais contre l'octroi d'autorisation de créer un héliport à Gampel, VS
ID-1282	"Verhaftung, Abhörungen
 - Fall 
 - Bundesanwaltschaft: Handakten Rudolf Gerber, Bundesanwalt (1974-1993)"	Unterlagen zu den Vorwürfen <n>Odora, Isiit</n>
ID-1742	"1974 erstellte Strafakten
 - 1970-1979 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>Wutunomon, Rovica</n> <d>28.08.1963</d>, Défaut au recrutement
ID-802	"Ordipro Nr. 300'000 - 309'999
 - Ständige Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Wucu Vuhüno Hidiv</n>, <d>29.11.2011</d>, (Ordipro Nr. <a>947.69.265</a>)
